instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,trials.label,trials.startVal,trials.startValSd,trials.stim_diam_degs,trials.SF,trials.TF,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,session,participant,date,expName,psychopyVersion,frameRate,
17.414089130994398,None,space,17.086811123997904,17.414089130994398,None,,,,,,,,,,,,,,,,,,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,1,0,start,4,lin,0.3,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,1,1,start,4,lin,0.001,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,1,2,start,4,lin,0.001,0,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,1,3,start,4,lin,0.3,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,2,4,start,4,lin,0.3020945854670745,0,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,2,5,start,4,lin,0.3020945854670745,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,2,6,start,4,lin,0.003094585467074511,0,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,2,7,start,4,lin,0.02506748593551877,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,3,8,start,4,lin,0.021236126172390526,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,3,9,start,4,lin,0.32011196707604,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,3,10,start,4,lin,0.021111967076040027,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,3,11,start,4,lin,0.2978776137470836,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,4,12,start,4,lin,0.017449573991282878,0,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,4,13,start,4,lin,0.2937834968227827,0,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,4,14,start,4,lin,0.017581269967197024,1,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,4,15,start,4,lin,0.3164495739912829,0,001,000,2019_Sep_09_1250,interleaved_QUEST_staircase_contrast,3.1.4,59.951254833845766,
,,,,,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,5,16,start,4,lin,0.33301175614815337,,,,,,,,
